fecha,producto,cantidad,precio_unitario
2023-10-8,Producto-4,52,161.93
2023-10-3,Producto-6,56,160.36
2023-10-8,Producto-5,87,113.47
2023-10-27,Producto-5,76,132.2
2023-10-5,Producto-6,9,87.33
2023-10-7,Producto-6,46,182.86
2023-10-25,Producto-1,87,159.91
2023-10-26,Producto-6,38,92.82
2023-10-2,Producto-4,55,85.64
2023-10-31,Producto-1,86,64.61
2023-10-12,Producto-9,18,63.03
2023-10-25,Producto-9,45,106.89
2023-10-1,Producto-7,18,12.65
2023-10-29,Producto-9,32,179.9
2023-10-19,Producto-2,12,154.57
2023-10-25,Producto-10,29,140.38
2023-10-28,Producto-6,74,48.1
2023-10-3,Producto-10,24,78.25
2023-10-26,Producto-5,31,56.45
2023-10-24,Producto-6,41,121.82
2023-10-8,Producto-7,11,132.59
2023-10-2,Producto-7,61,122.19
2023-10-7,Producto-4,43,15.25
2023-10-14,Producto-7,23,34.28
2023-10-18,Producto-4,43,11.66
2023-10-14,Producto-1,17,146.25
2023-10-17,Producto-4,26,179.44
2023-10-3,Producto-1,30,132.93
2023-10-19,Producto-4,92,189.27
2023-10-15,Producto-3,46,34.92
2023-10-29,Producto-10,18,104.13
2023-10-14,Producto-2,54,181.07
2023-10-16,Producto-10,76,126.48
2023-10-2,Producto-4,63,155.73
2023-10-8,Producto-8,31,59.62
2023-10-28,Producto-4,72,71.99
2023-10-4,Producto-4,75,195.5
2023-10-29,Producto-7,39,26.75
2023-10-15,Producto-9,45,156.98
2023-10-24,Producto-10,96,119.24
2023-10-17,Producto-8,58,79.82
2023-10-21,Producto-5,53,134.62
2023-10-27,Producto-3,94,175.74
2023-10-28,Producto-6,90,161.75
2023-10-8,Producto-4,15,181.49
2023-10-12,Producto-2,36,114.53
2023-10-31,Producto-2,65,13.4
2023-10-11,Producto-10,37,185.09
2023-10-21,Producto-4,31,80.99
2023-10-23,Producto-4,57,168.68
2023-10-16,Producto-10,49,67.94
2023-10-29,Producto-3,90,117.72
2023-10-21,Producto-1,73,167.2
2023-10-7,Producto-4,28,160.83
2023-10-11,Producto-8,43,52.64
2023-10-15,Producto-7,9,87.46
2023-10-13,Producto-4,48,112.46
2023-10-1,Producto-1,29,150.9
2023-10-6,Producto-10,47,180.96
2023-10-17,Producto-3,18,189.63
2023-10-14,Producto-8,74,155.86
2023-10-21,Producto-10,42,160.62
2023-10-17,Producto-9,9,20.69
2023-10-1,Producto-8,72,170.74
2023-10-11,Producto-9,64,52.75
2023-10-13,Producto-9,92,174.33
2023-10-12,Producto-1,2,58.63
2023-10-10,Producto-2,100,75.69
2023-10-15,Producto-9,78,134.59
2023-10-20,Producto-5,3,135.0
2023-10-11,Producto-8,13,89.43
